poi_id,poi_category,lat_pos,lon_pos
743,airport,-121.31,36.36306
744,airport,-121.31472,38.43583
745,airport,-121.31611,38.08389
746,airport,-121.31944,38.03167
747,airport,-121.3275,37.67028
748,airport,-121.33194,38.39361
749,airport,-121.33472,38.72417
750,airport,-121.33694,36.87139
751,airport,-121.35111,38.90889
752,airport,-121.35917,38.09139
753,airport,-121.35917,39.29972
754,airport,-121.35917,39.32472
755,airport,-121.35917,41.88722
756,airport,-121.37,36.46694
757,airport,-121.37278,38.79194
758,airport,-121.37944,38.5475
759,airport,-121.38917,38.72889
760,airport,-121.40694,36.89
761,airport,-121.41972,39.19222
762,airport,-121.42944,38.30472
763,airport,-121.43306,41.01861
764,airport,-121.43722,38.34111
765,airport,-121.44167,37.68889
766,airport,-121.44528,38.67583
767,airport,-121.45222,38.55444
768,airport,-121.45639,38.00389
769,airport,-121.46528,36.95306
770,airport,-121.4675,39.56639
771,airport,-121.48417,38.86639
772,airport,-121.49111,36.62611
773,airport,-121.49333,38.5125
774,airport,-121.50778,38.44278
775,airport,-121.515,38.63806
776,airport,-121.51889,38.76917
777,airport,-121.52944,38.83472
778,airport,-121.53417,38.21639
779,airport,-121.54306,38.21306
780,airport,-121.545,38.59139
781,airport,-121.56028,38.59861
782,airport,-121.56139,38.84
783,airport,-121.56278,38.75389
784,airport,-121.56917,39.15917
785,airport,-121.56972,39.0975
786,airport,-121.57139,37.03556
787,airport,-121.5725,38.74694
788,airport,-121.58028,39.46
789,airport,-121.58417,38.79139
790,airport,-121.585,38.75917
791,airport,-121.59056,38.69528
792,airport,-121.59667,37.08167
793,airport,-121.60611,36.66306
794,airport,-121.60889,39.12639
795,airport,-121.61611,39.70944
796,airport,-121.61694,36.66972
797,airport,-121.61944,39.48972
798,airport,-121.63694,37.83583
799,airport,-121.63833,39.22472
800,airport,-121.64972,40.89444
801,airport,-121.65917,37.98722
802,airport,-121.65972,36.7
803,airport,-121.68889,38.17083
804,airport,-121.69333,37.66111
805,airport,-121.69389,39.28583
806,airport,-121.69583,39.45944
807,airport,-121.70083,38.81639
808,airport,-121.70972,38.87194
809,airport,-121.71611,39.09556
810,airport,-121.7175,38.83306
811,airport,-121.73,36.48167
812,airport,-121.74722,38.61528
813,airport,-121.76167,36.68111
814,airport,-121.77111,39.4975
815,airport,-121.77444,40.34417
816,airport,-121.77583,36.93972
817,airport,-121.78361,39.68861
818,airport,-121.78639,38.53139
819,airport,-121.78944,36.93556
820,airport,-121.79722,37.10806
821,airport,-121.8175,40.52194
822,airport,-121.81972,37.33278
823,airport,-121.82028,37.69333
824,airport,-121.82333,38.38111
825,airport,-121.82528,38.66528
826,airport,-121.84278,36.58694
827,airport,-121.84278,36.90583
828,airport,-121.84722,36.58889
829,airport,-121.84972,39.74222
830,airport,-121.85,39.10306
831,airport,-121.85639,38.57889
832,airport,-121.85833,39.79528
833,airport,-121.86194,36.97028
834,airport,-121.8675,39.72056
835,airport,-121.87194,38.67361
836,airport,-121.87833,41.7425
837,airport,-121.88,37.37333
838,airport,-121.88194,40.44556
839,airport,-121.88361,39.10917
840,airport,-121.905,38.40583
841,airport,-121.9175,39.07472
842,airport,-121.92778,37.36194
843,airport,-121.93417,39.09972
844,airport,-121.935,37.31389
845,airport,-121.94028,36.98028
846,airport,-121.95111,38.35556
847,airport,-121.96222,38.37667
848,airport,-121.97194,37.77167
849,airport,-121.97222,37.38528
850,airport,-121.975,38.26917
851,airport,-121.97556,41.88694
852,airport,-121.97806,37.55611
853,airport,-121.98,37.54778
854,airport,-121.9825,36.99028
855,airport,-121.99333,39.17889
856,airport,-121.99667,39.94972
857,airport,-122.01778,38.32833
858,airport,-122.02861,37.80306
859,airport,-122.03972,37.9125
860,airport,-122.04528,38.45806
861,airport,-122.04833,39.20083
862,airport,-122.05694,37.98944
863,airport,-122.08833,37.63306
864,airport,-122.09361,39.3525
865,airport,-122.0975,39.01083
866,airport,-122.11472,37.46083
867,airport,-122.12222,37.65917
868,airport,-122.12222,41.27306
869,airport,-122.12306,38.17333
870,airport,-122.12722,37.07028
871,airport,-122.12861,39.78889
872,airport,-122.13139,39.16333
873,airport,-122.13528,40.15611
874,airport,-122.13833,38.71639
875,airport,-122.14639,39.72111
876,airport,-122.15083,37.76667
